sample_name,library,Breed
HG02321,short,HUMAN
HG01881,short,HUMAN
HG01895,short,HUMAN
HG01959,short,HUMAN
HG02258,short,HUMAN
HG02451,short,HUMAN
HG01887,short,HUMAN
HG02055,short,HUMAN
HG02280,short,HUMAN
HG01884,short,HUMAN
HG01897,short,HUMAN
HG01960,short,HUMAN
HG02145,short,HUMAN
HG02316,short,HUMAN
HG01888,short,HUMAN
HG01916,short,HUMAN
HG01891,short,HUMAN
HG01987,short,HUMAN
HG02257,short,HUMAN
HG02011,short,HUMAN
NA19702,short,HUMAN
NA19836,short,HUMAN
NA19918,short,HUMAN
NA20129,short,HUMAN
NA20358,short,HUMAN
NA19828,short,HUMAN
NA19902,short,HUMAN
NA20128,short,HUMAN
NA20279,short,HUMAN
NA19705,short,HUMAN
NA19919,short,HUMAN
NA19924,short,HUMAN
NA19983,short,HUMAN
HG02945,short,HUMAN
HG02966,short,HUMAN
HG03101,short,HUMAN
HG03113,short,HUMAN
HG03128,short,HUMAN
HG03191,short,HUMAN
HG03197,short,HUMAN
HG03272,short,HUMAN
HG03308,short,HUMAN
HG03310,short,HUMAN
HG03373,short,HUMAN
HG03519,short,HUMAN
HG02954,short,HUMAN
HG02975,short,HUMAN
HG02980,short,HUMAN
HG03119,short,HUMAN
HG03134,short,HUMAN
HG03299,short,HUMAN
HG03305,short,HUMAN
HG03314,short,HUMAN
HG03350,short,HUMAN
HG02948,short,HUMAN
HG02972,short,HUMAN
HG03110,short,HUMAN
HG03116,short,HUMAN
HG03131,short,HUMAN
HG03200,short,HUMAN
HG03296,short,HUMAN
HG03309,short,HUMAN
HG03312,short,HUMAN
HG03344,short,HUMAN
HG03374,short,HUMAN
HG03522,short,HUMAN
HG02964,short,HUMAN
HG02978,short,HUMAN
HG03122,short,HUMAN
HG03137,short,HUMAN
HG03164,short,HUMAN
HG03302,short,HUMAN
HG03306,short,HUMAN
HG03368,short,HUMAN
HG02924,short,HUMAN
HG02965,short,HUMAN
HG03161,short,HUMAN
HG03170,short,HUMAN
HG03269,short,HUMAN
HG03307,short,HUMAN
HG03516,short,HUMAN
HG03125,short,HUMAN
HG03371,short,HUMAN
HG02569,short,HUMAN
HG02584,short,HUMAN
HG02590,short,HUMAN
HG02615,short,HUMAN
HG02668,short,HUMAN
HG02764,short,HUMAN
HG02809,short,HUMAN
HG02815,short,HUMAN
HG02853,short,HUMAN
HG02886,short,HUMAN
HG02892,short,HUMAN
HG03035,short,HUMAN
HG03047,short,HUMAN
HG03242,short,HUMAN
HG03249,short,HUMAN
HG02463,short,HUMAN
HG02575,short,HUMAN
HG02625,short,HUMAN
HG02636,short,HUMAN
HG02773,short,HUMAN
HG02821,short,HUMAN
HG02862,short,HUMAN
HG03029,short,HUMAN
HG03251,short,HUMAN
HG02572,short,HUMAN
HG03540,short,HUMAN
HG02596,short,HUMAN
HG02622,short,HUMAN
HG02677,short,HUMAN
HG02680,short,HUMAN
HG02770,short,HUMAN
HG02812,short,HUMAN
HG02856,short,HUMAN
HG02889,short,HUMAN
HG02897,short,HUMAN
HG03026,short,HUMAN
HG03050,short,HUMAN
HG03250,short,HUMAN
HG02466,short,HUMAN
HG02630,short,HUMAN
HG02644,short,HUMAN
HG02704,short,HUMAN
HG02723,short,HUMAN
HG02761,short,HUMAN
HG02800,short,HUMAN
HG02838,short,HUMAN
HG02869,short,HUMAN
HG02880,short,HUMAN
HG02984,short,HUMAN
HG03033,short,HUMAN
HG03260,short,HUMAN
HG02563,short,HUMAN
HG02612,short,HUMAN
HG02647,short,HUMAN
HG02717,short,HUMAN
HG02762,short,HUMAN
HG02806,short,HUMAN
HG02841,short,HUMAN
HG02871,short,HUMAN
HG02883,short,HUMAN
HG03034,short,HUMAN
HG03041,short,HUMAN
HG03248,short,HUMAN
HG02587,short,HUMAN
HG02818,short,HUMAN
HG03456,short,HUMAN
HG03579,short,HUMAN
HG03056,short,HUMAN
HG03438,short,HUMAN
HG03584,short,HUMAN
HG03582,short,HUMAN
HG03453,short,HUMAN
HG03574,short,HUMAN
HG03098,short,HUMAN
HG03454,short,HUMAN
HG03480,short,HUMAN
HG03576,short,HUMAN
HG03065,short,HUMAN
HG03486,short,HUMAN
NA18506,short,HUMAN
NA18854,short,HUMAN
NA18869,short,HUMAN
NA18913,short,HUMAN
NA19094,short,HUMAN
NA19120,short,HUMAN
NA19132,short,HUMAN
NA19142,short,HUMAN
NA19150,short,HUMAN
NA19174,short,HUMAN
NA19177,short,HUMAN
NA19203,short,HUMAN
NA19249,short,HUMAN
NA18518,short,HUMAN
NA18857,short,HUMAN
NA18860,short,HUMAN
NA18875,short,HUMAN
NA18925,short,HUMAN
NA19100,short,HUMAN
NA19123,short,HUMAN
NA19140,short,HUMAN
NA19154,short,HUMAN
NA19191,short,HUMAN
NA19208,short,HUMAN
NA19215,short,HUMAN
NA19226,short,HUMAN
NA18515,short,HUMAN
NA18855,short,HUMAN
NA18859,short,HUMAN
NA18872,short,HUMAN
NA18914,short,HUMAN
NA19097,short,HUMAN
NA19122,short,HUMAN
NA19139,short,HUMAN
NA19151,short,HUMAN
NA19186,short,HUMAN
NA19205,short,HUMAN
NA19258,short,HUMAN
NA18484,short,HUMAN
NA18487,short,HUMAN
NA18500,short,HUMAN
NA18521,short,HUMAN
NA18862,short,HUMAN
NA18906,short,HUMAN
NA18930,short,HUMAN
NA19101,short,HUMAN
NA19109,short,HUMAN
NA19127,short,HUMAN
NA19145,short,HUMAN
NA19161,short,HUMAN
NA19199,short,HUMAN
NA19211,short,HUMAN
NA19221,short,HUMAN
NA19237,short,HUMAN
NA18497,short,HUMAN
NA18503,short,HUMAN
NA18852,short,HUMAN
NA18863,short,HUMAN
NA18911,short,HUMAN
NA18935,short,HUMAN
NA19103,short,HUMAN
NA19115,short,HUMAN
NA19128,short,HUMAN
NA19148,short,HUMAN
NA19173,short,HUMAN
NA19176,short,HUMAN
NA19202,short,HUMAN
NA19224,short,HUMAN
NA18485,short,HUMAN
NA19240,short,HUMAN
HG01135,short,HUMAN
HG01261,short,HUMAN
HG01279,short,HUMAN
HG01358,short,HUMAN
HG01385,short,HUMAN
HG01433,short,HUMAN
HG01463,short,HUMAN
HG01141,short,HUMAN
HG01274,short,HUMAN
HG01346,short,HUMAN
HG01349,short,HUMAN
HG01367,short,HUMAN
HG01490,short,HUMAN
HG01138,short,HUMAN
HG01273,short,HUMAN
HG01343,short,HUMAN
HG01347,short,HUMAN
HG01361,short,HUMAN
HG01466,short,HUMAN
HG01150,short,HUMAN
HG01252,short,HUMAN
HG01276,short,HUMAN
HG01376,short,HUMAN
HG01439,short,HUMAN
HG01493,short,HUMAN
HG01499,short,HUMAN
HG01126,short,HUMAN
HG01255,short,HUMAN
HG01258,short,HUMAN
HG01278,short,HUMAN
HG01355,short,HUMAN
HG01379,short,HUMAN
HG01391,short,HUMAN
HG01457,short,HUMAN
HG01496,short,HUMAN
HG01552,short,HUMAN
HG01114,short,HUMAN
HG01352,short,HUMAN
NA19662,short,HUMAN
NA19680,short,HUMAN
NA19685,short,HUMAN
NA19721,short,HUMAN
NA19748,short,HUMAN
NA19778,short,HUMAN
NA19796,short,HUMAN
NA19656,short,HUMAN
NA19671,short,HUMAN
NA19727,short,HUMAN
NA19757,short,HUMAN
NA19784,short,HUMAN
NA19653,short,HUMAN
NA19665,short,HUMAN
NA19686,short,HUMAN
NA19718,short,HUMAN
NA19724,short,HUMAN
NA19751,short,HUMAN
NA19781,short,HUMAN
NA19659,short,HUMAN
NA19675,short,HUMAN
NA19730,short,HUMAN
NA19760,short,HUMAN
NA19772,short,HUMAN
NA19787,short,HUMAN
NA19660,short,HUMAN
NA19677,short,HUMAN
NA19683,short,HUMAN
NA19733,short,HUMAN
NA19763,short,HUMAN
NA19775,short,HUMAN
NA19790,short,HUMAN
NA19650,short,HUMAN
HG01922,short,HUMAN
HG01940,short,HUMAN
HG01978,short,HUMAN
HG01993,short,HUMAN
HG02273,short,HUMAN
HG02293,short,HUMAN
HG02302,short,HUMAN
HG02287,short,HUMAN
HG01928,short,HUMAN
HG01946,short,HUMAN
HG01949,short,HUMAN
HG01969,short,HUMAN
HG01983,short,HUMAN
HG02004,short,HUMAN
HG02148,short,HUMAN
HG01567,short,HUMAN
HG01925,short,HUMAN
HG01943,short,HUMAN
HG01981,short,HUMAN
HG01998,short,HUMAN
HG02091,short,HUMAN
HG02279,short,HUMAN
HG02300,short,HUMAN
HG02303,short,HUMAN
HG01579,short,HUMAN
HG01934,short,HUMAN
HG01952,short,HUMAN
HG01972,short,HUMAN
HG01984,short,HUMAN
HG01898,short,HUMAN
HG01919,short,HUMAN
HG01937,short,HUMAN
HG01955,short,HUMAN
HG01975,short,HUMAN
HG02261,short,HUMAN
HG01573,short,HUMAN
HG02106,short,HUMAN
HG01053,short,HUMAN
HG01084,short,HUMAN
HG01172,short,HUMAN
HG01178,short,HUMAN
HG01206,short,HUMAN
HG00552,short,HUMAN
HG00639,short,HUMAN
HG00738,short,HUMAN
HG01062,short,HUMAN
HG01096,short,HUMAN
HG01103,short,HUMAN
HG01109,short,HUMAN
HG01189,short,HUMAN
HG01249,short,HUMAN
HG00735,short,HUMAN
HG01056,short,HUMAN
HG01087,short,HUMAN
HG01175,short,HUMAN
HG01184,short,HUMAN
HG01243,short,HUMAN
HG00555,short,HUMAN
HG00642,short,HUMAN
HG00741,short,HUMAN
HG01068,short,HUMAN
HG01074,short,HUMAN
HG01099,short,HUMAN
HG01106,short,HUMAN
HG01192,short,HUMAN
HG01050,short,HUMAN
HG01071,short,HUMAN
HG01081,short,HUMAN
HG01100,short,HUMAN
HG01169,short,HUMAN
HG01199,short,HUMAN
HG00733,short,HUMAN
HG00408,short,HUMAN
HG00444,short,HUMAN
HG00501,short,HUMAN
HG00532,short,HUMAN
HG00538,short,HUMAN
HG00561,short,HUMAN
HG00594,short,HUMAN
HG00621,short,HUMAN
HG00635,short,HUMAN
HG00655,short,HUMAN
HG00706,short,HUMAN
HG00420,short,HUMAN
HG00427,short,HUMAN
HG00450,short,HUMAN
HG00474,short,HUMAN
HG00577,short,HUMAN
HG00579,short,HUMAN
HG00609,short,HUMAN
HG00664,short,HUMAN
HG00685,short,HUMAN
HG00700,short,HUMAN
HG00418,short,HUMAN
HG00447,short,HUMAN
HG00465,short,HUMAN
HG00502,short,HUMAN
HG00544,short,HUMAN
HG00567,short,HUMAN
HG00597,short,HUMAN
HG00636,short,HUMAN
HG00658,short,HUMAN
HG00673,short,HUMAN
HG00709,short,HUMAN
HG00423,short,HUMAN
HG00429,short,HUMAN
HG00453,short,HUMAN
HG00477,short,HUMAN
HG00578,short,HUMAN
HG00582,short,HUMAN
HG00585,short,HUMAN
HG00612,short,HUMAN
HG00627,short,HUMAN
HG00691,short,HUMAN
HG00702,short,HUMAN
HG00405,short,HUMAN
HG00438,short,HUMAN
HG00459,short,HUMAN
HG00480,short,HUMAN
HG00526,short,HUMAN
HG00535,short,HUMAN
HG00558,short,HUMAN
HG00591,short,HUMAN
HG00615,short,HUMAN
HG00630,short,HUMAN
HG00652,short,HUMAN
HG00694,short,HUMAN
HG00703,short,HUMAN
HG00514,short,HUMAN
HG00512,short,HUMAN
HG02523,short,HUMAN
HG02027,short,HUMAN
HG02068,short,HUMAN
HG02129,short,HUMAN
HG02525,short,HUMAN
HG02514,short,HUMAN
HG02524,short,HUMAN
HG02074,short,HUMAN
HG02080,short,HUMAN
HG02135,short,HUMAN
HG02030,short,HUMAN
HG02071,short,HUMAN
HG02132,short,HUMAN
HG02526,short,HUMAN
HG02056,short,HUMAN
HG02077,short,HUMAN
HG02083,short,HUMAN
HG02120,short,HUMAN
HG02015,short,HUMAN
HG02024,short,HUMAN
HG02126,short,HUMAN
HG02059,short,HUMAN
HG02018,short,HUMAN
NA06997,short,HUMAN
NA07031,short,HUMAN
NA07045,short,HUMAN
NA07349,short,HUMAN
NA10835,short,HUMAN
NA10840,short,HUMAN
NA10855,short,HUMAN
NA10861,short,HUMAN
NA11882,short,HUMAN
NA12057,short,HUMAN
NA12146,short,HUMAN
NA12274,short,HUMAN
NA12386,short,HUMAN
NA12739,short,HUMAN
NA12817,short,HUMAN
NA12875,short,HUMAN
NA12891,short,HUMAN
NA06991,short,HUMAN
NA07019,short,HUMAN
NA07345,short,HUMAN
NA10830,short,HUMAN
NA10837,short,HUMAN
NA10843,short,HUMAN
NA10857,short,HUMAN
NA10864,short,HUMAN
NA11917,short,HUMAN
NA12239,short,HUMAN
NA12335,short,HUMAN
NA12752,short,HUMAN
NA12767,short,HUMAN
NA12832,short,HUMAN
NA07014,short,HUMAN
NA07034,short,HUMAN
NA07055,short,HUMAN
NA07435,short,HUMAN
NA10836,short,HUMAN
NA10842,short,HUMAN
NA10856,short,HUMAN
NA10863,short,HUMAN
NA10865,short,HUMAN
NA11891,short,HUMAN
NA12145,short,HUMAN
NA12236,short,HUMAN
NA12740,short,HUMAN
NA12766,short,HUMAN
NA12818,short,HUMAN
NA12892,short,HUMAN
NA06993,short,HUMAN
NA07022,short,HUMAN
NA07346,short,HUMAN
NA10831,short,HUMAN
NA10838,short,HUMAN
NA10845,short,HUMAN
NA10852,short,HUMAN
NA10859,short,HUMAN
NA11993,short,HUMAN
NA12248,short,HUMAN
NA12336,short,HUMAN
NA12344,short,HUMAN
NA12485,short,HUMAN
NA12753,short,HUMAN
NA12801,short,HUMAN
NA12864,short,HUMAN
NA06995,short,HUMAN
NA07029,short,HUMAN
NA07348,short,HUMAN
NA10839,short,HUMAN
NA10846,short,HUMAN
NA10854,short,HUMAN
NA10860,short,HUMAN
NA11839,short,HUMAN
NA12056,short,HUMAN
NA12264,short,HUMAN
NA12343,short,HUMAN
NA12376,short,HUMAN
NA12707,short,HUMAN
NA12802,short,HUMAN
NA12865,short,HUMAN
NA12877,short,HUMAN
NA12329,short,HUMAN
HG01520,short,HUMAN
HG01604,short,HUMAN
HG01611,short,HUMAN
HG01627,short,HUMAN
HG01681,short,HUMAN
HG01696,short,HUMAN
HG01755,short,HUMAN
HG01780,short,HUMAN
HG02229,short,HUMAN
HG01511,short,HUMAN
HG01526,short,HUMAN
HG01532,short,HUMAN
HG01616,short,HUMAN
HG01633,short,HUMAN
HG01671,short,HUMAN
HG01687,short,HUMAN
HG01701,short,HUMAN
HG01706,short,HUMAN
HG01772,short,HUMAN
HG02237,short,HUMAN
HG01508,short,HUMAN
HG01523,short,HUMAN
HG01529,short,HUMAN
HG01614,short,HUMAN
HG01629,short,HUMAN
HG01683,short,HUMAN
HG01698,short,HUMAN
HG01703,short,HUMAN
HG01763,short,HUMAN
HG02234,short,HUMAN
HG01514,short,HUMAN
HG01538,short,HUMAN
HG01621,short,HUMAN
HG01667,short,HUMAN
HG01674,short,HUMAN
HG01711,short,HUMAN
HG01774,short,HUMAN
HG02222,short,HUMAN
HG02240,short,HUMAN
HG01502,short,HUMAN
HG01517,short,HUMAN
HG01601,short,HUMAN
HG01609,short,HUMAN
HG01622,short,HUMAN
HG01677,short,HUMAN
HG01748,short,HUMAN
HG01778,short,HUMAN
HG01782,short,HUMAN
HG02225,short,HUMAN
HG01505,short,HUMAN
HG03725,short,HUMAN
HG03719,short,HUMAN
HG03721,short,HUMAN
HG04217,short,HUMAN
HG03732,short,HUMAN
HG03606,short,HUMAN
HG03795,short,HUMAN
HG03798,short,HUMAN
HG03804,short,HUMAN
HG03831,short,HUMAN
HG03904,short,HUMAN
HG03929,short,HUMAN
HG04132,short,HUMAN
HG04136,short,HUMAN
HG04147,short,HUMAN
HG04157,short,HUMAN
HG04192,short,HUMAN
HG03801,short,HUMAN
HG03909,short,HUMAN
HG03942,short,HUMAN
HG04149,short,HUMAN
HG04174,short,HUMAN
HG03617,short,HUMAN
HG03797,short,HUMAN
HG03799,short,HUMAN
HG03806,short,HUMAN
HG03906,short,HUMAN
HG03930,short,HUMAN
HG04142,short,HUMAN
HG04148,short,HUMAN
HG04160,short,HUMAN
HG04193,short,HUMAN
HG03596,short,HUMAN
HG03816,short,HUMAN
HG03915,short,HUMAN
HG04133,short,HUMAN
HG04150,short,HUMAN
HG04175,short,HUMAN
HG04187,short,HUMAN
HG03008,short,HUMAN
HG03605,short,HUMAN
HG03794,short,HUMAN
HG03825,short,HUMAN
HG03834,short,HUMAN
HG03927,short,HUMAN
HG04135,short,HUMAN
HG04151,short,HUMAN
HG04184,short,HUMAN
HG04191,short,HUMAN
HG03807,short,HUMAN
HG02495,short,HUMAN
HG02650,short,HUMAN
HG02692,short,HUMAN
HG02729,short,HUMAN
HG02788,short,HUMAN
HG03017,short,HUMAN
HG03618,short,HUMAN
HG03639,short,HUMAN
HG03700,short,HUMAN
HG02602,short,HUMAN
HG02656,short,HUMAN
HG02683,short,HUMAN
HG02701,short,HUMAN
HG02738,short,HUMAN
HG02785,short,HUMAN
HG02794,short,HUMAN
HG03230,short,HUMAN
HG03489,short,HUMAN
HG03626,short,HUMAN
HG03650,short,HUMAN
HG02653,short,HUMAN
HG03704,short,HUMAN
HG03710,short,HUMAN
HG03761,short,HUMAN
HG02698,short,HUMAN
HG02735,short,HUMAN
HG02776,short,HUMAN
HG02791,short,HUMAN
HG03487,short,HUMAN
HG03620,short,HUMAN
HG03641,short,HUMAN
HG03701,short,HUMAN
HG02605,short,HUMAN
HG02659,short,HUMAN
HG02686,short,HUMAN
HG03236,short,HUMAN
HG03492,short,HUMAN
HG03633,short,HUMAN
HG03651,short,HUMAN
HG03669,short,HUMAN
HG02662,short,HUMAN
HG03707,short,HUMAN
HG03763,short,HUMAN
HG02689,short,HUMAN
HG02726,short,HUMAN
HG03239,short,HUMAN
HG03635,short,HUMAN
HG03654,short,HUMAN
HG03699,short,HUMAN
HG02492,short,HUMAN
HG04115,short,HUMAN
HG04199,short,HUMAN
HG03682,short,HUMAN
HG04036,short,HUMAN
HG03688,short,HUMAN
HG03992,short,HUMAN
HG04122,short,HUMAN
HG04204,short,HUMAN
HG04228,short,HUMAN
HG04127,short,HUMAN
HG04215,short,HUMAN
HG03683,short,HUMAN
